University Name,Category,Campuses,Contact Information,Website,Google Map URL,Latitude,Longitude,Image URL,Established Since,Sector,Chartered By,City,Province,Recognized University,Distance Education
Bacha Khan University,General,Charsada,"Palosa, Charsadda. +92-91-6540062",http://www.bkuc.edu.pk,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3302.368592408826!2d71.83604381474363!3d34.13691092071176!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38d936923d154701%3A0x45699948986964d3!2sBacha+Khan+University!5e0!3m2!1sen!2s!4v1468671181735,,,/english/universities/PublishingImages/Placeholder-Image-Content.png,3/7/2012,Public,Government of Khyber Pakhtunkhwa,Charsada,Khyber Pakhtunkhwa,Yes,No
"Bahauddin Zakariya University (BZU), Multan",General,Multan; Sahiwal,"Bosan Road, Multan +92-61-9210069",http://www.bzu.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3446.0600944884236!2d71.50788791464265!3d30.263868915129418!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x393b34c13413d3ed%3A0xc2efb8e4b3db1f58!2sBahauddin+Zakariya+University!5e0!3m2!1sen!2s!4v1468741400206,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,3/4/1975,Public,Government of Punjab,Multan,Punjab,Yes,No
Bahria University,General,Islamabad; Karachi; Lahore,"Shangrilla Road, Sector E-8 Islamabad +92-51-111-111-028",http://www.bahria.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3318.7398874537544!2d73.02723881434694!3d33.71567898069878!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38dfbef8c137888d%3A0xc3ccfd031ad14ba6!2sBahria+University!5e0!3m2!1sen!2s!4v1466859839637,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,2/7/2000,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No
Balochistan University of Engineering & Technology,General,Khuzdar,"Balochistan University of Engg & Technology (BUET), Khuzdar. +92-848-412834, +92-848-5021000",http://www.buetk.edu.pk,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3528.6971515684704!2d66.62587621458563!3d27.81909142718014!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3ecb76056f8b1dc5%3A0x95ab75585b9100c6!2sBalochistan+University+of+Engineering+and+Technology!5e0!3m2!1sen!2s!4v1468611482391,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,8/3/1994,Public,Government of Balochistan,Khuzdar,Balochistan,Yes,No
"Balochistan University of Information Technology, Engineering & Management Sciences (BUITEMS)",Engineering & Technology,Quetta,"Airport Road, Baleli, Quetta +92-81-2881042081, +92-81-9202463, +92-81-9201051",http://www.buitms.edu.pk,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3445.913289547483!2d66.93802701464288!3d30.268051714930454!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3ed31e4efcd49773%3A0x43313d2851abe590!2sBalochistan+University+of+Information+Technology%2C+Engineering+%26+Management+Sciences!5e0!3m2!1sen!2s!4v1468612229690,,,/english/universities/PublishingImages/BUITEMS.jpg,7/18/2002,Public,Government of Balochistan,Quetta,Balochistan,Yes,No
Baqai Medical University,General,Karachi,"51, Deh Tor, Toll Plaza, Super Highway, Gadap Road, Karachi +92-21-34410-311, +92-21-34410-293-298, +92-21-34410427-28",http://www.baqai.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3616.3663589127373!2d67.211663214526!3d24.987664296302416!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3eb3483e28db8a9b%3A0x4118818c4c532b00!2sBaqai+Medical+University%2C+Karachi%2C+Pakistan!5e0!3m2!1sen!2s!4v1468945514321,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,5/26/1996,Private,Government of Sindh,Karachi,Sindh,Yes,No
Beaconhouse National University,General,Lahore,"13 KM Raiwaind Road, Near Jati Umrah Road, Lahore 54400. +92-42-38100156",http://www.bnu.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3406.791709609908!2d74.21318831467009!3d31.364726561950274!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x391855549698f6f7%3A0x4ffb44644f967144!2sBeaconhouse+National+University+Tarogil+Campus!5e0!3m2!1sen!2s!4v1468741979411,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,7/2/2005,Private,Government of Punjab,Lahore,Punjab,Yes,No
"Begum Nustrat Bhutto Women University, Sukkur",General,Mian Campus,"National Highway, Rohri Bypass, Sukkur Tel # +92-71-9311200 Fax # +92-71-9311201",https://www.bnbwu.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3533.7605928930516!2d68.91947291460835!3d27.662877834052697!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x39367fae3d37249d%3A0x6e71aa7dbfc1dc8d!2sBegum%20Nusrat%20Bhutto%20Woman%20University%20Sukkur%20-%20Main%20Campus!5e0!3m2!1sen!2s!4v1600167398485!5m2!1sen!2s,,,/english/universities/PublishingImages/Begum%20Nusrat%20Bhutto%20University.jpg,6/7/2018,Public,Government of Sindh,Sukkur,Sindh,Yes,No
Benazir Bhutto Shaheed University Lyari,General,Karachi,"Fakir Muhammad Dura Khan Road, Near “Kashti Chowk” Lyari, Karachi, Postal Code: 75660. +92-21-32744020, +92-21-32744021, +92-21-32742581",http://www.bbsul.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3619.8717653359695!2d67.00393471452367!3d24.868228951071643!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3eb33e2209666b9f%3A0xc4fff7ccafc0ec80!2sBenazir+Bhutto+Shaheed+University%2C+Lyari!5e0!3m2!1sen!2s!4v1468945855375,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,1/28/2010,Public,Government of Sindh,Karachi,Sindh,Yes,No
"Benazir Bhutto Shaheed University of Technology & Skill Development, Khairpur Mirs",Engineering & Technology,Khairpur,Station Road Near Mil Colony Khairpur MiRS Khairpur Khairpur Mirs,https://www.under%20process.pk/,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14154.39850850852!2d68.7426956!3d27.5128244!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xb83242b154993fc3!2sBenazir%20Bhutto%20Shaheed%20University%20of%20Technology%20and%20Skill%20Development%20(BBSUTSD)%20Khairpur%20Mirs!5e0!3m2!1sen!2s!4v1635931364012!5m2!1sen!2s,,,/english/universities/PublishingImages/Placeholder-Image-Content.png,4/22/2016,Public,Government of Sindh,Khairpur,Sindh,Yes,No
Brains Institute Peshawar,General,Peshawar,"Phase III Chowk, Jamrud Road, Peshawar Tel: +92-91-5611637, 0336-5700036 Email: info@brains.edu.pk",http://brains.edu.pk,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3307.7884348685415!2d71.45819471468262!3d33.99796758062065!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38d910db91c4d1bd%3A0x5d9d866157d2c49c!2sBrains+Post+Graduate+College+And+University!5e0!3m2!1sen!2s!4v1539591503094&quot;,,,/english/universities/PublishingImages/Brains%20Institute%20Peshawar.png,10/20/2016,Private,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes,No
Capital University of Science & Technology,General,Islamabad,"Capital University of Science & Technology Islamabad Expressway,  Kahuta Road, Zone-V  Islamabad. +92-51-2512800-1, +92-51-4486700-4, +92-51-111-555-666",http://www.cust.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3325.2530223316508!2d73.18182121456017!3d33.54680178074638!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38dfedbd34b0d39f%3A0xcb4fb523ae9db9c2!2sCapital+University+of+Science+and+Technology!5e0!3m2!1sen!2s!4v1466928447812,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,9/28/2015,Private,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No
CECOS University of Information Technology & Emerging Sciences,General,Peshawar,"CECOS University, Phase 6, Sector F-5, Hayatabad, Peshawar. +92-91-5864291",http://www.cecos.edu.pk,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3309.089849842069!2d71.4429116147388!3d33.96453002979562!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38d9109c649f6d1f%3A0xc25ef7d588164393!2sCECOS+University+of+Information+Technology+and+Emerging+Sciences!5e0!3m2!1sen!2s!4v1468671813877,,,/english/universities/PublishingImages/Placeholder-Image-Content.png,8/30/2001,Private,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes,No
"Cholistan University of Veterinary and Animal Sciences, Bahawalpur",Agriculture & Veterinary,Bahawal Pur,"Cholistan University of Veterinary & Animal Sciences, Near DHA, Bahawalpur, Punjab-Pakistan Tel: +92-062- 9255716 Email: registrar@cuvas.edu.pk",http://www.cuvas.edu.pk,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3478.541314602243!2d71.64253055006016!3d29.325127682062085!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x393b941fe161987b%3A0xfcc55b5c0b8175b9!2sCholistan+University+of+Veterinary+and+animal+Sciences!5e0!3m2!1sen!2s!4v1554806904266!5m2!1sen!2s&quot,,,/english/universities/PublishingImages/CUVAS%20Bahawalpur-1.jpg,5/4/2018,Public,Government of Punjab,Bahawal Pur,Punjab,Yes,No
City University of Science and Information Technology,General,Peshawar,"Dalazak Road, Peshawar. +92-91-2609501-8",http://www.cityuniversity.edu.pk,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3306.2695171660475!2d71.61712361474085!3d34.03695692598386!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38d93daccda395f3%3A0xc147b84fa6b207de!2sCity+University+of+Science+and+Information+Technology!5e0!3m2!1sen!2s!4v1470031622795,,,/Style%20Library/HEC/images/IMG_2855.jpg,8/30/2001,Private,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes,No
Commecs Institute of Business & Emerging Sciences,General,Karachi,"Plot No. 40-B, Block-6, PECHS, Karachi. +92-21-34634104, +92-21-34320077 +92-21-34320074-76, +92-21-34615357-59",http://www.commecsinstitute.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3618.603682175154!2d67.12795761452445!3d24.91149664934641!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3eb338fd4dcbe3b3%3A0x4288533d1c8676b2!2sCOMMECS+College!5e0!3m2!1sen!2s!4v1468946192038,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,2/18/2010,Private,Government of Sindh,Karachi,Sindh,Yes,No
"COMSATS University, Islamabad",General,Mian Campus; Abbottabad; Attock; Lahore; Sahiwal; Vehari,"Park Road, Tarlai Kalan, Islamabad 45550, Pakistan +92-51-9247000-9247002  +92-51-111-001-007",https://www.comsats.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3321.205905458121!2d73.15440461456367!3d33.65182628071665!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38dfea4aee5bdf8f%3A0xe6b55e05d462beb1!2sCOMSATS+Institute+of+Information+Technology!5e0!3m2!1sen!2s!4v1466928931734,,,/english/universities/PublishingImages/COMSATS%20University%20Islamabad.jpeg,8/12/2000,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No
Dadabhoy Institute of Higher Education,General,Karachi,"SNPA-17/B, Block 3, P.E.C.H.Society,Shaheed-e-Millat Road, Karachi. +92-21-34389108, +92-21-111-020-304.",http://www.dadabhoy.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3618.7802008958583!2d67.07275481452439!3d24.905477949586505!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3eb33f213cffffff%3A0x91ac2c245fd4319c!2sDadabhoy+Institute+of+Higher+Education!5e0!3m2!1sen!2s!4v1468947080372,,,/english/universities/PublishingImages/Dadabhoy%20Karachi.png,1/12/2004,Private,Government of Sindh,Karachi,Sindh,Yes,No
"Dar-ul-Madina International University, Islamabad",General,Mian Campus,"G 11 Markaz, Shabbir Sharif Road,  Islamabad. UAN Number: (051) 111 252 692, (051) 8745786 Email: ps.vc@darulmadinah.net",https://www.dmiu.edu.pk,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3320.5378414034903!2d72.99882387479606!3d33.66913503786402!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38df955e3c7ef079%3A0x9d56fe7dbe6ecce0!2sDarul%20Madina%20International%20University%20Islamabad!5e0!3m2!1sen!2s!4v1704347172810!5m2!1sen!2s,,,/english/universities/PublishingImages/Dar%20ul%20Madina%20International%20University.png,3/14/2013,Private,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No
Dawood University of Engineering & Technology,Engineering & Technology,Karachi,"M.A. Jinnah Road, Karachi 74800. +92-21-99230701, +92-21-99231195 - 98",http://www.duet.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3618.938469796258!2d67.07954836452429!3d24.900080349801872!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3eb33ed9d335fbc9%3A0x71e1566814a0627b!2sDawood+University+of+Engineering+%26+Technology%2C+Karachi%2C+Pakistan!5e0!3m2!1sen!2s!4v1468947622890,,,/english/universities/PublishingImages/Dawood%20UET%20Karachi.png,10/31/2007,Public,Government of Pakistan,Karachi,Sindh,Yes,No
DHA Suffa University,General,Karachi,"DG-78, Off Khayaban-e-Tufail, Ph-VII (Ext),DHA, Karachi-75500. +92-21-35244875",http://www.dsu.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3621.4378130684086!2d67.07740921452262!3d24.814697053202487!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3eb33c62f239e641%3A0x4e41a2d7dd487cfc!2sDHA+Suffa+University!5e0!3m2!1sen!2s!4v1468947941060,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,5/27/2002,Private,Government of Sindh,Karachi,Sindh,Yes,No
DOW University of Health Sciences,General,Karachi,"Baba-E-Urdu Road, Karachi 74200. +92-21-99215754-7 +92-21-32715441-466",http://www.duhs.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3620.180635483527!2d67.00871281452343!3d24.857679451491997!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3eb33e0ffe49d2b9%3A0xf6264a8f9f3130fc!2sDow+University+of+Health+Sciences!5e0!3m2!1sen!2s!4v1468948290686,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,12/17/2005,Public,Government of Sindh,Karachi,Sindh,Yes,No
"Emaan Institute of Management & Sciences, Karachi",General,Mian Campus,"Plot No.A-2, Sector 28, Suparco Road, Gulzar E Hijri Scheme 33, Karachi-Pakistan Tel # 0092-21-34999200-2 Emal: info@emaan.edu.pk; hr@emaan.edu.pk",http://www.emaan.edu.pk,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14470.215487073541!2d67.1327327!3d24.9472636!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xb2e46cb7217938ca!2sEmaan%20Institute%20of%20Management%20and%20Sciences!5e0!3m2!1sen!2s!4v1660718607078!5m2!1sen!2s,,,/english/universities/PublishingImages/Emaan%20Institute%20Karachi.jfif,5/28/2018,Private,Government of Sindh,Karachi,Sindh,Yes,No
"Emerson University, Multan",General,Mian Campus,"Bosan Road, Near Gol Bagh, Multan-Pakistan Tel # 0092 - 61 - 9210037 Email:  info@eum.edu.pk",https://eum.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3447.5031338588724!2d71.474698314598!3d30.222725617084524!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x393b338a0b41bcdb%3A0x30b022d117133795!2sEmerson%20University%20Multan!5e0!3m2!1sen!2s!4v1664354358152!5m2!1sen!2s,,,/english/universities/PublishingImages/Emerson%20University.jfif,5/17/2021,Public,Government of Punjab,Multan,Punjab,Yes,No
